title,description,dept,course_num,course_name,min_credits,max_credits,offered,grading,note,course_abbrev
"ELTA-040 Life and Culture in Washington, DC (0) opens a new window"," ELTA-040 Life and Culture in Washington, DC (0)In this course students study and experience the life and culture of the U.S. capital. Through readings, discussions, films, guest lectures by local experts, and site visits in Washington, DC, students gain a more profound understanding about this exciting and intriguing city. Students also compare and contrast the life and culture of DC to that of the United States as a whole. In the process, students strengthen all aspects of their English language skills and deepen their understanding of U.S. culture. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,40,"Life and Culture in Washington, DC ",0,0,,A-F only,,ELTA-040
ELTA-041 Writing and Grammar-Level 4 (0) opens a new window," ELTA-041 Writing and Grammar-Level 4 (0)This course develops students’ writing skills with a particular focus on writing academic essays according to American academic conventions. After reviewing and honing their ability to write clear, focused, and well-developed paragraphs, students learn to state and defend a thesis while composing a variety of academic essays, such as compare and contrast, cause and effect, and process. Students engage in all aspects of the writing process, including peer review workshops, and learn the value of feedback and revision. In addition, students analyze and address the typical grammatical trouble spots for non-native speakers. Throughout the course, students pay close attention to the norms of academic integrity and the issue of plagiarism. The course culminates with an introduction to the research paper. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,41,Writing and Grammar-Level 4,0,0,,A-F only,,ELTA-041
ELTA-042 Academic Discussion-Level 4 (0) opens a new window," ELTA-042 Academic Discussion-Level 4 (0)This course focuses on improving students’ aural and oral skills in order to be confident and successful in U.S. academic settings, including comprehension of aural communication (i.e., listening for content, note-taking, paraphrasing, and summarizing) as well as participation in oral communication (i.e., utilizing verbal and non-verbal communication skills, managing conversations/discussions, and giving oral presentations) in the classroom. Students increase their fluency and accuracy in expressing their ideas, expand their academic and idiomatic vocabulary, and sharpen their critical thinking skills. Students research and give a variety of individual and group presentations on topics from class discussions, current events, and the course texts, and are also given support in academic skills such as time-management and group work. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,42,Academic Discussion-Level 4,0,0,,A-F only,,ELTA-042
ELTA-043 Reading and Vocabulary-Level 4 (0) opens a new window," ELTA-043 Reading and Vocabulary-Level 4 (0)This course offers students the opportunity to develop critical academic reading skills and to expand their academic vocabulary. Students read a variety of texts, such as essays, newspaper articles, short stories, and novels. They become close readers by responding critically to the texts in a variety of modes, including writing journals and essays, giving presentations, and actively engaging in small and whole group discussions. Students keep a vocabulary journal composed of new words they encounter from texts and presentations. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,43,Reading and Vocabulary-Level 4,0,0,,A-F only,,ELTA-043
ELTA-051 Writing and Grammar-Level 5 (0) opens a new window," ELTA-051 Writing and Grammar-Level 5 (0)This course develops students’ academic writing skills with a particular focus on how written academic essays can be used to develop a short research paper. Students build their essay writing skills, incorporating complex grammatical structures and using different rhetorical genres such as classification, definition, problem/solution, and compare/contrast to increase the sophistication of their writing. Students engage in all aspects of the writing process, including peer review workshops, and learn the value of feedback and revision. In addition, students analyze and address the typical grammatical trouble spots for non-native speakers with a particular focus on tone, hedging, and boosting. Throughout the course, students pay close attention to the norms of academic integrity and the issue of plagiarism as they research and document their work. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,51,Writing and Grammar-Level 5,0,0,,A-F only,,ELTA-051
ELTA-052 Academic Discussion-Level 5 (0) opens a new window," ELTA-052 Academic Discussion-Level 5 (0)This advanced level course builds students’ academic aural and oral skills. The focus is on comprehension of oral communication in the classroom (i.e. listening for content, note-taking, paraphrasing, and summarizing) as well as participation in oral communication in the classroom (i.e. utilizing verbal and non-verbal communication skills, managing conversations/discussions, and giving oral presentations). Particular emphasis is placed on understanding and responding to long-form academic lectures from a variety of disciplines. In addition to several individual and group presentations, students also give a short lecture and lead a discussion on a topic of their interest. In the process students increase their fluency and accuracy in expressing their ideas, expand their academic vocabulary, and sharpen their critical thinking skills. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,52,Academic Discussion-Level 5,0,0,,A-F only,,ELTA-052
ELTA-053 Reading and Vocabulary-Level 5 (0) opens a new window," ELTA-053 Reading and Vocabulary-Level 5 (0)This course further develops critical thinking skills, academic reading skills, and expanding academic vocabulary. Students read and interpret literary works, academic texts, and media articles, write on assigned topics and apply a range of learning strategies and research skills effectively. Students participate in debates, lead classroom presentations and discussions, and work collaboratively in preparing group presentations. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,53,Reading and Vocabulary-Level 5,0,0,,A-F only,,ELTA-053
ELTA-054 American TV and Culture Studies-Level 5 (0) opens a new window," ELTA-054 American TV and Culture Studies-Level 5 (0)Students deepen their understanding of media and culture by evaluating and responding to how American culture is represented on television sitcoms. Through readings, discussions, presentations, and watching various shows students gain insight into the way TV portrays the culture and people of the U.S. Students specifically examine the representations of gender, race, ethnicity, family, sexual orientation, and politics while also viewing how these representations have evolved over the history of TV sitcoms. In the process, students also strengthen all aspects of their English language skills. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,54,American TV and Culture Studies-Level 5,0,0,,A-F only,,ELTA-054
ELTA-060 American Film and Culture Studies-Level 6 (0) opens a new window," ELTA-060 American Film and Culture Studies-Level 6 (0)By viewing and discussing films about important social and political issues in the United States such as civil rights, feminism, and teenage alienation, students learn about U.S. culture, history, and society. Presentations on topics related to the films help students gain a better understanding of the issues and how they have evolved over the past several decades. In the process, students improve all aspects of their English language skills. Grading: A-F only. Permission: program director.  | ",ELTA,60,American Film and Culture Studies-Level 6,0,0,,A-F only,,ELTA-060
ELTA-061 Writing and Grammar-Level 6 (0) opens a new window," ELTA-061 Writing and Grammar-Level 6 (0)This course develops students’ academic writing skills with a particular focus on how to write research papers and graduate-level research proposals. Students build on their previous essay writing skills, incorporating complex grammatical structures and using different rhetorical styles to increase the sophistication of their writing. Students engage in all aspects of the writing process, including peer review, while paying close attention to the norms of academic integrity and the issue of plagiarism as they research and document their work. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,61,Writing and Grammar-Level 6,0,0,,A-F only,,ELTA-061
ELTA-062 Academic Discussion-Level 6 (0) opens a new window," ELTA-062 Academic Discussion-Level 6 (0)This course prepares students to be engaged and ready for graduate-level lectures and discussions. Students improve listening and speaking skills, pronunciation, vocabulary, note-taking, presentation skills, and critical thinking. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,62,Academic Discussion-Level 6,0,0,,A-F only,,ELTA-062
ELTA-063 Reading and Vocabulary-Level 6 (0) opens a new window," ELTA-063 Reading and Vocabulary-Level 6 (0)Students develop their critical thinking skills, academic reading skills, and advanced academic vocabulary by close reading and analyzing academic texts across a diverse array of disciplines as well as scholarly articles and a novel. In addition to writing analytical responses to the texts, students apply a range of learning strategies and research skills, participate in debates, lead classroom presentations and discussions, and often work collaboratively. Grading: A-F only.Restriction: English Language and Training Academy (ELTA) program. | ",ELTA,63,Reading and Vocabulary-Level 6,0,0,,A-F only,,ELTA-063
"ELTA-064 Live, Learn, Grow (1) opens a new window"," ELTA-064 Live, Learn, Grow (1)The course orients international students to American University, its surrounding area, and the embedded national cultural context; fosters student success through active, learner-centered dynamics; and sustains students’ success at the university and beyond.Repeatable. Grading: Pass/Fail only. Permission: instructor.Note: No academic credit is received for this course. Credit equivalent is listed only for the purpose of determining full-time student status.  | ",ELTA,64,"Live, Learn, Grow ",1,1,,Pass/Fail only,No academic credit is received for this course,ELTA-064
ELTA-065 Professional Development (1) opens a new window,ELTA-065 Professional Development (1)This course trains students to be successful in their chosen field of study and to help them prepare for successful employment after graduation. The course equips international students with field specific vocabulary and cultural norms and offers opportunities to practice and utilize their training through professional development activities.Repeatable. Grading: Pass/Fail only. Permission: advisor.Note: No academic credit is received for this course. Credit equivalent is listed only for the purpose of determining full-time student status.  |,ELTA,65,Professional Development,1,1,,Pass/Fail only,No academic credit is received for this course,ELTA-065
ELTA-070 English for Academic Purposes (6) opens a new window," ELTA-070 English for Academic Purposes (6)This course introduces students to the necessary knowledge and skills to comprehend written and spoken academic English with a high degree of accuracy, and to speak and write it precisely and fluently in both formal and informal academic contexts. Grading: A-F only. Permission: advisor.Note: No academic credit is received for this course. Credit equivalent is listed only for the purpose of determining full-time student status.  | ",ELTA,70,English for Academic Purposes,6,6,,A-F only,No academic credit is received for this course,ELTA-070
ELTA-071 AU in the World (3) opens a new window," ELTA-071 AU in the World (3)This course explores American University and the Washington, DC region through study of history, culture, and politics. It considers historical and current factors that shaped our diverse structures and communities and the powerful interactive influence between this region and the wider global community. Grading: A-F only. Permission: instructor.Note: No academic credit is received for this course. Credit equivalent is listed only for the purpose of determining full-time student status.  | ",ELTA,71,AU in the World,3,3,,A-F only,No academic credit is received for this course,ELTA-071
ELTA-072 Critical Reading Skills (6) opens a new window," ELTA-072 Critical Reading Skills (6)This course introduces students to the skills necessary for critical reading in an academic context and serves as a complement to ELTA-070 . The course focuses on developing students’ rhetorical reading skills in order to actively engage with texts in a deeper and richer way. The content of the course covers an identified theme that integrates a variety of academic subject areas, utilizing lectures, films, podcasts, and other listening materials to provide background and context to the texts. Grading: A-F only. Permission: advisor.Note: No academic credit is received for this course. Credit equivalent is listed only for the purpose of determining full-time student status.  | ",ELTA,72,Critical Reading Skills,6,6,,A-F only,No academic credit is received for this course,ELTA-072
ELTA-080 Graduate Academic Communication (3) opens a new window," ELTA-080 Graduate Academic Communication (3)This course gives incoming students the opportunity to sharpen the listening and speaking skills essential for graduate study. The focus is on listening for content, giving effective presentations, note taking, and summarizing. Students also develop an understanding of verbal and nonverbal communication and become comfortable and confident with actively participating in class discussions. Grading: A-F only. Permission: advisor.Note: No academic credit is received for this course. Credit equivalent is listed only for the purpose of determining full-time student status.  | ",ELTA,80,Graduate Academic Communication,3,3,,A-F only,No academic credit is received for this course,ELTA-080
ELTA-081 Introduction to Graduate Academic Writing (3) opens a new window," ELTA-081 Introduction to Graduate Academic Writing (3)Students improve their grammatical skills, employ advanced structures in their writing, and become familiar with the rhetorical patterns in their fields of study. Students choose a unique research question, develop a hypothesis, conduct secondary research, and propose additional research methods suitable for their projects. These activities reinforce the content of course readings that examine the expectations and conventions of academic style, form, and ethical conduct within American graduate institutions. Finally, students synthesize their course work and construct a research proposal that illustrates their understanding of academic reading, writing, and research and share their research and proposal via a final presentation. Grading: A-F only. Permission: advisor.Note: No academic credit is received for this course. Credit equivalent is listed only for the purpose of determining full-time student status.  | ",ELTA,81,Introduction to Graduate Academic Writing,3,3,,A-F only,No academic credit is received for this course,ELTA-081
ELTA-090 Independent Study (0) opens a new window,ELTA-090 Independent Study (0) Permission: program director.  |,ELTA,90,Independent Study,0,0,,,,ELTA-090
ELTA-096 Selected Topics: Non-Recurring (0) opens a new window,ELTA-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable.  |,ELTA,96,Selected Topics: Non-Recurring,0,0,,,,ELTA-096
ENVS-096 Selected Topics: Non-Recurring (0) opens a new window,ENVS-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,ENVS,96,Selected Topics: Non-Recurring,0,0,,,,ENVS-096
FIN-060 Foundations of Finance (0) opens a new window," FIN-060 Foundations of Finance (0)This course offers a basic overview of statistics, as well as basic financial and accounting concepts required for a better understanding of finance. In addition, students must successfully complete the R workshop offered by the Department of Information Technology and Analytics. Topics covered include descriptive statistics, probability rules, discrete and continuous probability distributions, sampling distributions, hypothesis testing, financial statements, free cash flows, mean-variance analysis.  Grading: Pass/Fail only. | ",FIN,60,Foundations of Finance,0,0,,Pass/Fail only,,FIN-060
FIN-096 Selected Topics: Non-Recurring (0) opens a new window,FIN-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,FIN,96,Selected Topics: Non-Recurring,0,0,,,,FIN-096
FREN-020 French Reading for Research (0) opens a new window," FREN-020 French Reading for Research (0)For graduate students who have studied French but require a refresher course stressing grammar review, vocabulary building and translation. Successful completion of the course with a grade of B or better may satisfy the graduate tool of research requirement; students should consult with their academic advisor. Usually Offered: summer. Note: This non-credit course is open only to American University graduate students.  Two years of high school or one year of college French required.  | ",FREN,20,French Reading for Research,0,0,summer,,This non-credit course is open only to American University graduate students,FREN-020
GOVT-020 Campaign Management Institute (0) opens a new window," GOVT-020 Campaign Management Institute (0)Noncredit option. The Campaign Management Institute (CMI) is a nationally recognized program designed to train individuals for participation in local, state, and federal political campaigns. Developed and taught by strategists from the Republican and Democratic parties, national campaign consultants, and political scientists, the intensive two-week program serves as a valuable foundation for political activists and campaign managers. The institute comprehensively covers campaign techniques, strategy, and tactics with emphasis on technological developments. Student teams develop a campaign plan and present it to a professional panel.Crosslist: GOVT-520 . Grading: Pass/Fail only. Prerequisite: GOVT-110  or GOVT-620 .  | ",GOVT,20,Campaign Management Institute,0,0,,Pass/Fail only,,GOVT-020
GOVT-021 Legislative Negotiation (0) opens a new window," GOVT-021 Legislative Negotiation (0)Differing from other negotiation settings, legislative negotiations are impacted by politics, policy, and a broad array of stakeholders and principals, as well as internal rules, guidelines, and precedents. Even as gridlock and paralysis have been recent hallmarks, successful legislative negotiations address important problems facing the states and the nation. Students learn critical negotiations techniques and strategies, and apply them through simulations, role playing, case analysis in the legislative context. Students acquire key skills including negotiation tactics, design, and set up. Students sharpen negotiation and advocacy skills in the process and gain a better understanding of the tools and dynamics of legislative negotiations, including internal and external parties, and how to increase the chances of success in an often-polarized environment.Crosslist: GOVT-421  and GOVT-621 . Usually Offered: summer. | ",GOVT,21,Legislative Negotiation,0,0,summer,,,GOVT-021
GOVT-023 The Art and Craft of Lobbying (0) opens a new window,GOVT-023 The Art and Craft of Lobbying (0) Topics vary by section. Noncredit option. This course provides intensive programs on major aspects of professional lobbying and influencing the policymaking process with either a United States or European Union perspective.Crosslist: GOVT-523 .Repeatable. Grading: Pass/Fail only. Prerequisite: GOVT-110  or GOVT-620 .  |,GOVT,23,The Art and Craft of Lobbying,0,0,,Pass/Fail only,,GOVT-023
GOVT-096 Selected Topics: Non-Recurring (0) opens a new window,GOVT-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,GOVT,96,Selected Topics: Non-Recurring,0,0,,,,GOVT-096
"HIST-085 Hiroshima, Nagasaki, and Beyond (0) opens a new window"," HIST-085 Hiroshima, Nagasaki, and Beyond (0)Noncredit option. Summer study trip to Japan in conjunction with the Nuclear Studies Institute. Focuses on Japanese wartime aggression, the human devastation wrought by the atomic bombings, current Japanese and international efforts to eliminate nuclear weapons, and the building of closer ties between the people of the United States and Japan. Participants hear first-hand accounts of atomic bomb survivors and Asian victims of Japanese atrocities, visit sites of historical and cultural significance, and attend commemorative events.Crosslist: HIST-485  and HIST-685 . Usually Offered: summer. | ",HIST,85,"Hiroshima, Nagasaki, and Beyond ",0,0,summer,,,HIST-085
HIST-096 Selected Topics: Non-Recurring (0) opens a new window,HIST-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable.  |,HIST,96,Selected Topics: Non-Recurring,0,0,,,,HIST-096
HNRS-040 University Honors Study/Travel (0) opens a new window,HNRS-040 University Honors Study/Travel (0) Topics vary by section. Study abroad usually taught in conjunction with an Honors colloquium. Usually Offered: spring. Repeatable for credit with different topic. Restriction: University Honors program. |,HNRS,40,University Honors Study/Travel,0,0,spring,,,HNRS-040
HNRS-050 Honors Supplement (0) opens a new window,HNRS-050 Honors Supplement (0)This course allows students to supplement an upper-level course so that it counts towards fulfillment of the AU Honors Colloquium requirement. Usually Offered: fall and spring. Repeatable. Grading: Pass/Fail only. Prerequisite: HNRS-395 . Restriction: American University Honors Program  or Honors in the Major . Permission: AU Honors Program.  |,HNRS,50,Honors Supplement,0,0,fall and spring,Pass/Fail only,,HNRS-050
HNRS-096 Selected Topics: Non-Recurring (0) opens a new window,HNRS-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,HNRS,96,Selected Topics: Non-Recurring,0,0,,,,HNRS-096
HNRS-097 Honors Research Module (0) opens a new window," HNRS-097 Honors Research Module (0)With the guidance of program staff and the University library, students form interdisciplinary teams and create a research challenge question from multidisciplinary perspectives. Students participate in research methods sessions with the library to assist in the development of their challenge course question. Usually Offered: fall and spring.Grading: Pass/fail only.Restriction: American University Honors Program . | ",HNRS,97,Honors Research Module,0,0,fall and spring,Pass/fail only,,HNRS-097
HNRS-098 Honors Capstone Supplement (0) opens a new window,HNRS-098 Honors Capstone Supplement (0)This course allows students to supplement a Capstone  course so that it counts towards fulfillment of the AU Honors Capstone requirement. Usually Offered: fall and spring. Repeatable. Grading: Pass/Fail only. Prerequisite: HNRS-398 . Restriction: American University Honors Program  or Honors in the Major . Permission: AU Honors Program.  |,HNRS,98,Honors Capstone Supplement,0,0,fall and spring,Pass/Fail only,,HNRS-098
IBUS-096 Selected Topics: Non-Recurring (0) opens a new window,IBUS-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,IBUS,96,Selected Topics: Non-Recurring,0,0,,,,IBUS-096
IDIS-096 Selected Topics: Non-Recurring (0) opens a new window,IDIS-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,IDIS,96,Selected Topics: Non-Recurring,0,0,,,,IDIS-096
ISCI-096 Selected Topics: Non-Recurring (0) opens a new window,ISCI-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable.  |,ISCI,96,Selected Topics: Non-Recurring,0,0,,,,ISCI-096
ISCI-098 Social Science and Policy Supplement (0) opens a new window,ISCI-098 Social Science and Policy Supplement (0)Non-credit supplement for students in the Undergraduate Certificate in Social Science and Policy. Students use the research findings in their certificate capstone coursework and translate it into a policy position paper. A final oral presentation at the annual certificate colloquium is mandatory. Restriction: Social Science and Policy (Undergraduate Certificate) . |,ISCI,98,Social Science and Policy Supplement,0,0,,,,ISCI-098
JLC-096 Selected Topics: Non-Recurring (0) opens a new window,JLC-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,JLC,96,Selected Topics: Non-Recurring,0,0,,,,JLC-096
KSB-091 Internship (0) opens a new window,KSB-091 Internship (0) Grading: Pass/Fail only.Restriction: graduate standing. Permission: instructor and program director.  |,KSB,91,Internship,0,0,,Pass/Fail only,,KSB-091
KSB-096 Selected Topics: Non-Recurring (0) opens a new window,KSB-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,KSB,96,Selected Topics: Non-Recurring,0,0,,,,KSB-096
LIT-010 College Reading (2) opens a new window," LIT-010 College Reading (2)Develops the ability to cope efficiently with the rigors of academic life. Emphasizes practical techniques of reading in different disciplines, speed reading, time management, note taking, exam skills, and research.Note: No academic credit is received for this course, nor does it fulfill a requirement for any degree program. Credit equivalent is listed for determining full-time status only.  | ",LIT,10,College Reading,2,2,,,"No academic credit is received for this course, nor does it fulfill a requirement for any degree program",LIT-010
LIT-096 Selected Topics: Non-Recurring (0) opens a new window,LIT-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,LIT,96,Selected Topics: Non-Recurring,0,0,,,,LIT-096
MATH-096 Selected Topics: Non-Recurring (0) opens a new window,MATH-096 Selected Topics: Non-Recurring (0) Topics vary by section. Repeatable for credit with different topic.  |,MATH,96,Selected Topics: Non-Recurring,0,0,,,,MATH-096
MUS-001 Applied Music Performance Lab (0) opens a new window," MUS-001 Applied Music Performance Lab (0)Required weekly performance lab provides students enrolled in private instrument or vocal study the opportunity to perform before their peers and public, or to hear guest performers and lectures. Grading: Pass/Fail only. Corequisite: MUS-121 , MUS-122 , MUS-334 , or MUS-434 .  | ",MUS,1,Applied Music Performance Lab,0,0,,Pass/Fail only,,MUS-001
